Stationsnummer;Messstelle;Komponente;Einheit;Messhöhe über Grund in m;Höhe der Messstation über NN in m;PLZ;Ort;Straße;Ost;Nord;Inbetriebnahme Datum;Stilllege Datum;Aktiv (Y/N)
4461;Heilbronn;Kohlenmonoxid;mg/m³;0;155;74076;Heilbronn;Hans-Rießer-Straße;516300;5445800;1979-11-01;NA;Ja
4461;Heilbronn;Kohlenmonoxid;mg/m³;4;155;74076;Heilbronn;Hans-Rießer-Straße;516300;5445800;1979-11-01;NA;Ja
4461;Heilbronn;Niederschlag;mm;NA;155;74076;Heilbronn;Hans-Rießer-Straße;516300;5445800;1979-11-01;NA;Ja
4461;Heilbronn;Ozon;µg/m³;NA;155;74076;Heilbronn;Hans-Rießer-Straße;516300;5445800;1979-11-01;NA;Ja
4461;Heilbronn;Schwebstaub PM 10 (Gravimetrie);µg/m³;NA;155;74076;Heilbronn;Hans-Rießer-Straße;516300;5445800;1979-11-01;NA;Ja
4461;Heilbronn;Schwebstaub PM 10 (Streulicht);µg/m³;NA;155;74076;Heilbronn;Hans-Rießer-Straße;516300;5445800;1979-11-01;NA;Ja
4461;Heilbronn;Schwebstaub PM 2_5 (Gravimetrie);µg/m³;NA;155;74076;Heilbronn;Hans-Rießer-Straße;516300;5445800;1979-11-01;NA;Ja
4461;Heilbronn;Schwefeldioxid;µg/m³;0;155;74076;Heilbronn;Hans-Rießer-Straße;516300;5445800;1979-11-01;NA;Ja
4461;Heilbronn;Schwefeldioxid;µg/m³;4;155;74076;Heilbronn;Hans-Rießer-Straße;516300;5445800;1979-11-01;NA;Ja
4461;Heilbronn;Stickstoffdioxid;µg/m³;NA;155;74076;Heilbronn;Hans-Rießer-Straße;516300;5445800;1979-11-01;NA;Ja
4461;Heilbronn;Stickstoffmonoxid;µg/m³;NA;155;74076;Heilbronn;Hans-Rießer-Straße;516300;5445800;1979-11-01;NA;Ja
4461;Heilbronn;Temperatur;°C;NA;155;74076;Heilbronn;Hans-Rießer-Straße;516300;5445800;1979-11-01;NA;Ja
4461;Heilbronn;Windgeschwindigkeit;m/s;NA;155;74076;Heilbronn;Hans-Rießer-Straße;516300;5445800;1979-11-01;NA;Ja
4461;Heilbronn;Windrichtung;°;NA;155;74076;Heilbronn;Hans-Rießer-Straße;516300;5445800;1979-11-01;NA;Ja
4463;Ludwigsburg;Kohlenmonoxid;mg/m³;0;302;71636;Ludwigsburg;Weimarstraße;512600;5416200;1982-03-01;NA;Ja
4463;Ludwigsburg;Kohlenmonoxid;mg/m³;4;302;71636;Ludwigsburg;Weimarstraße;512600;5416200;1982-03-01;NA;Ja
4463;Ludwigsburg;Niederschlag;mm;NA;302;71636;Ludwigsburg;Weimarstraße;512600;5416200;1982-03-01;NA;Ja
4463;Ludwigsburg;Ozon;µg/m³;NA;302;71636;Ludwigsburg;Weimarstraße;512600;5416200;1982-03-01;NA;Ja
4463;Ludwigsburg;Schwebstaub PM 10 (Gravimetrie);µg/m³;NA;302;71636;Ludwigsburg;Weimarstraße;512600;5416200;1982-03-01;NA;Ja
4463;Ludwigsburg;Schwebstaub PM 10 (Streulicht);µg/m³;NA;302;71636;Ludwigsburg;Weimarstraße;512600;5416200;1982-03-01;NA;Ja
4463;Ludwigsburg;Schwefeldioxid;µg/m³;0;302;71636;Ludwigsburg;Weimarstraße;512600;5416200;1982-03-01;NA;Ja
4463;Ludwigsburg;Schwefeldioxid;µg/m³;4;302;71636;Ludwigsburg;Weimarstraße;512600;5416200;1982-03-01;NA;Ja
4463;Ludwigsburg;Stickstoffdioxid;µg/m³;NA;302;71636;Ludwigsburg;Weimarstraße;512600;5416200;1982-03-01;NA;Ja
4463;Ludwigsburg;Stickstoffmonoxid;µg/m³;NA;302;71636;Ludwigsburg;Weimarstraße;512600;5416200;1982-03-01;NA;Ja
4463;Ludwigsburg;Windgeschwindigkeit;m/s;NA;302;71636;Ludwigsburg;Weimarstraße;512600;5416200;1982-03-01;NA;Ja
4463;Ludwigsburg;Windrichtung;°;NA;302;71636;Ludwigsburg;Weimarstraße;512600;5416200;1982-03-01;NA;Ja
76359;Ludwigsburg Friedrichstraße;Schwebstaub PM 10 (Gravimetrie);µg/m³;NA;299;71638;Friedrichshafen;Friedrichstraße;513900;5415100;2012-08-13;2020-03-16;Ja
76359;Ludwigsburg Friedrichstraße;Stickstoffdioxid;µg/m³;NA;299;71638;Friedrichshafen;Friedrichstraße;513900;5415100;2012-08-13;2020-03-16;Ja
76359;Ludwigsburg Friedrichstraße;Stickstoffmonoxid;µg/m³;NA;299;71638;Friedrichshafen;Friedrichstraße;513900;5415100;2012-08-13;2020-03-16;Ja
4473;Mannheim-Mitte;Globalstrahlung;W/m²;4;94;68165;Mannheim;Reichskanzler-Müller-Straße;462100;5480400;1974-12-31;2013-12-30;Nein
4473;Mannheim-Mitte;Kohlenmonoxid;mg/m³;0;94;68165;Mannheim;Reichskanzler-Müller-Straße;462100;5480400;1974-12-31;2013-12-30;Nein
4473;Mannheim-Mitte;Kohlenmonoxid;mg/m³;4;94;68165;Mannheim;Reichskanzler-Müller-Straße;462100;5480400;1974-12-31;2013-12-30;Nein
4473;Mannheim-Mitte;Niederschlag;mm;3;94;68165;Mannheim;Reichskanzler-Müller-Straße;462100;5480400;1974-12-31;2013-12-30;Nein
4473;Mannheim-Mitte;Ozon;µg/m³;4;94;68165;Mannheim;Reichskanzler-Müller-Straße;462100;5480400;1974-12-31;2013-12-30;Nein
4473;Mannheim-Mitte;Ozon;µg/m³;0;94;68165;Mannheim;Reichskanzler-Müller-Straße;462100;5480400;1974-12-31;2013-12-30;Nein
4473;Mannheim-Mitte;Schwebstaub PM 10 (Gravimetrie);µg/m³;0;94;68165;Mannheim;Reichskanzler-Müller-Straße;462100;5480400;1974-12-31;2013-12-30;Nein
4473;Mannheim-Mitte;Schwefeldioxid;µg/m³;4;94;68165;Mannheim;Reichskanzler-Müller-Straße;462100;5480400;1974-12-31;2013-12-30;Nein
4473;Mannheim-Mitte;Schwefeldioxid;µg/m³;0;94;68165;Mannheim;Reichskanzler-Müller-Straße;462100;5480400;1974-12-31;2013-12-30;Nein
4473;Mannheim-Mitte;Stickstoffdioxid;µg/m³;4;94;68165;Mannheim;Reichskanzler-Müller-Straße;462100;5480400;1974-12-31;2013-12-30;Nein
4473;Mannheim-Mitte;Stickstoffdioxid;µg/m³;0;94;68165;Mannheim;Reichskanzler-Müller-Straße;462100;5480400;1974-12-31;2013-12-30;Nein
4473;Mannheim-Mitte;Stickstoffmonoxid;µg/m³;4;94;68165;Mannheim;Reichskanzler-Müller-Straße;462100;5480400;1974-12-31;2013-12-30;Nein
4473;Mannheim-Mitte;Stickstoffmonoxid;µg/m³;0;94;68165;Mannheim;Reichskanzler-Müller-Straße;462100;5480400;1974-12-31;2013-12-30;Nein
4473;Mannheim-Mitte;Temperatur;°C;4;94;68165;Mannheim;Reichskanzler-Müller-Straße;462100;5480400;1974-12-31;2013-12-30;Nein
4473;Mannheim-Mitte;Windgeschwindigkeit;m/s;10;94;68165;Mannheim;Reichskanzler-Müller-Straße;462100;5480400;1974-12-31;2013-12-30;Nein
4473;Mannheim-Mitte;Windrichtung;°;10;94;68165;Mannheim;Reichskanzler-Müller-Straße;462100;5480400;1974-12-31;2013-12-30;Nein
76118;Odenwald;Globalstrahlung;W/m²;4;530;69259;Wilhelmsfeld;Schriesheimer Kopf;482100;5479100;1999-07-10;2011-05-31;Nein
76118;Odenwald;Kohlenmonoxid;mg/m³;0;530;69259;Wilhelmsfeld;Schriesheimer Kopf;482100;5479100;1999-07-10;2011-05-31;Nein
76118;Odenwald;Kohlenmonoxid;mg/m³;4;530;69259;Wilhelmsfeld;Schriesheimer Kopf;482100;5479100;1999-07-10;2011-05-31;Nein
76118;Odenwald;Luftdruck;mbar;4;530;69259;Wilhelmsfeld;Schriesheimer Kopf;482100;5479100;1999-07-10;2011-05-31;Nein
76118;Odenwald;Niederschlag;mm;3;530;69259;Wilhelmsfeld;Schriesheimer Kopf;482100;5479100;1999-07-10;2011-05-31;Nein
76118;Odenwald;Ozon;µg/m³;0;530;69259;Wilhelmsfeld;Schriesheimer Kopf;482100;5479100;1999-07-10;2011-05-31;Nein
76118;Odenwald;Ozon;µg/m³;4;530;69259;Wilhelmsfeld;Schriesheimer Kopf;482100;5479100;1999-07-10;2011-05-31;Nein
76118;Odenwald;Schwebstaub PM 10 (Gravimetrie);µg/m³;0;530;69259;Wilhelmsfeld;Schriesheimer Kopf;482100;5479100;1999-07-10;2011-05-31;Nein
76118;Odenwald;Schwefeldioxid;µg/m³;0;530;69259;Wilhelmsfeld;Schriesheimer Kopf;482100;5479100;1999-07-10;2011-05-31;Nein
76118;Odenwald;Schwefeldioxid;µg/m³;4;530;69259;Wilhelmsfeld;Schriesheimer Kopf;482100;5479100;1999-07-10;2011-05-31;Nein
76118;Odenwald;Stickstoffdioxid;µg/m³;4;530;69259;Wilhelmsfeld;Schriesheimer Kopf;482100;5479100;1999-07-10;2011-05-31;Nein
76118;Odenwald;Stickstoffdioxid;µg/m³;0;530;69259;Wilhelmsfeld;Schriesheimer Kopf;482100;5479100;1999-07-10;2011-05-31;Nein
76118;Odenwald;Stickstoffmonoxid;µg/m³;0;530;69259;Wilhelmsfeld;Schriesheimer Kopf;482100;5479100;1999-07-10;2011-05-31;Nein
76118;Odenwald;Stickstoffmonoxid;µg/m³;4;530;69259;Wilhelmsfeld;Schriesheimer Kopf;482100;5479100;1999-07-10;2011-05-31;Nein
76118;Odenwald;Temperatur;°C;4;530;69259;Wilhelmsfeld;Schriesheimer Kopf;482100;5479100;1999-07-10;2011-05-31;Nein
76118;Odenwald;Windgeschwindigkeit;m/s;10;530;69259;Wilhelmsfeld;Schriesheimer Kopf;482100;5479100;1999-07-10;2011-05-31;Nein
76118;Odenwald;Windrichtung;°;10;530;69259;Wilhelmsfeld;Schriesheimer Kopf;482100;5479100;1999-07-10;2011-05-31;Nein
4470;Reutlingen;Globalstrahlung;W/m²;NA;392;72770;Reutlingen;Friedrich-Ebert-Straße Gelände Pomologie;515300;5370600;1982-02-01;NA;Ja
4470;Reutlingen;Kohlenmonoxid;mg/m³;0;392;72770;Reutlingen;Friedrich-Ebert-Straße Gelände Pomologie;515300;5370600;1982-02-01;NA;Ja
4470;Reutlingen;Kohlenmonoxid;mg/m³;4;392;72770;Reutlingen;Friedrich-Ebert-Straße Gelände Pomologie;515300;5370600;1982-02-01;NA;Ja
4470;Reutlingen;Niederschlag;mm;NA;392;72770;Reutlingen;Friedrich-Ebert-Straße Gelände Pomologie;515300;5370600;1982-02-01;NA;Ja
4470;Reutlingen;Ozon;µg/m³;NA;392;72770;Reutlingen;Friedrich-Ebert-Straße Gelände Pomologie;515300;5370600;1982-02-01;NA;Ja
4470;Reutlingen;Schwebstaub PM 10 (Gravimetrie);µg/m³;NA;392;72770;Reutlingen;Friedrich-Ebert-Straße Gelände Pomologie;515300;5370600;1982-02-01;NA;Ja
4470;Reutlingen;Schwebstaub PM 10 (Streulicht);µg/m³;NA;392;72770;Reutlingen;Friedrich-Ebert-Straße Gelände Pomologie;515300;5370600;1982-02-01;NA;Ja
4470;Reutlingen;Schwefeldioxid;µg/m³;0;392;72770;Reutlingen;Friedrich-Ebert-Straße Gelände Pomologie;515300;5370600;1982-02-01;NA;Ja
4470;Reutlingen;Schwefeldioxid;µg/m³;4;392;72770;Reutlingen;Friedrich-Ebert-Straße Gelände Pomologie;515300;5370600;1982-02-01;NA;Ja
4470;Reutlingen;Stickstoffdioxid;µg/m³;NA;392;72770;Reutlingen;Friedrich-Ebert-Straße Gelände Pomologie;515300;5370600;1982-02-01;NA;Ja
4470;Reutlingen;Stickstoffmonoxid;µg/m³;NA;392;72770;Reutlingen;Friedrich-Ebert-Straße Gelände Pomologie;515300;5370600;1982-02-01;NA;Ja
4470;Reutlingen;Temperatur;°C;NA;392;72770;Reutlingen;Friedrich-Ebert-Straße Gelände Pomologie;515300;5370600;1982-02-01;NA;Ja
4470;Reutlingen;Windgeschwindigkeit;m/s;NA;392;72770;Reutlingen;Friedrich-Ebert-Straße Gelände Pomologie;515300;5370600;1982-02-01;NA;Ja
4470;Reutlingen;Windrichtung;°;NA;392;72770;Reutlingen;Friedrich-Ebert-Straße Gelände Pomologie;515300;5370600;1982-02-01;NA;Ja
76364;Reutlingen Lederstraße-Ost;Kohlenmonoxid;mg/m³;NA;382;72764;Reutlingen;Lederstraße;515500;5370700;2007-03-21;NA;Ja
76364;Reutlingen Lederstraße-Ost;Schwebstaub PM 10 (Gravimetrie);µg/m³;NA;382;72764;Reutlingen;Lederstraße;515500;5370700;2007-03-21;NA;Ja
76364;Reutlingen Lederstraße-Ost;Schwebstaub PM 10 (Streulicht);µg/m³;0;382;72764;Reutlingen;Lederstraße;515500;5370700;2007-03-21;NA;Ja
76364;Reutlingen Lederstraße-Ost;Schwebstaub PM 2_5 (Gravimetrie);µg/m³;NA;382;72764;Reutlingen;Lederstraße;515500;5370700;2007-03-21;NA;Ja
76364;Reutlingen Lederstraße-Ost;Stickstoffdioxid;µg/m³;NA;382;72764;Reutlingen;Lederstraße;515500;5370700;2007-03-21;NA;Ja
76364;Reutlingen Lederstraße-Ost;Stickstoffmonoxid;µg/m³;NA;382;72764;Reutlingen;Lederstraße;515500;5370700;2007-03-21;NA;Ja
47650;Schwäbische Alb;Globalstrahlung;W/m²;NA;797;72820;Erpfingen;Sonnenbühl-Erpfingen, Sportplatz;515300;5354700;1994-04-27;NA;Ja
47650;Schwäbische Alb;Kohlenmonoxid;mg/m³;0;797;72820;Erpfingen;Sonnenbühl-Erpfingen, Sportplatz;515300;5354700;1994-04-27;NA;Ja
47650;Schwäbische Alb;Kohlenmonoxid;mg/m³;4;797;72820;Erpfingen;Sonnenbühl-Erpfingen, Sportplatz;515300;5354700;1994-04-27;NA;Ja
47650;Schwäbische Alb;Luftdruck;mbar;NA;797;72820;Erpfingen;Sonnenbühl-Erpfingen, Sportplatz;515300;5354700;1994-04-27;NA;Ja
47650;Schwäbische Alb;Niederschlag;mm;NA;797;72820;Erpfingen;Sonnenbühl-Erpfingen, Sportplatz;515300;5354700;1994-04-27;NA;Ja
47650;Schwäbische Alb;Ozon;µg/m³;NA;797;72820;Erpfingen;Sonnenbühl-Erpfingen, Sportplatz;515300;5354700;1994-04-27;NA;Ja
47650;Schwäbische Alb;Schwebstaub PM 10 (Gravimetrie);µg/m³;NA;797;72820;Erpfingen;Sonnenbühl-Erpfingen, Sportplatz;515300;5354700;1994-04-27;NA;Ja
47650;Schwäbische Alb;Schwebstaub PM 10 (Streulicht);µg/m³;NA;797;72820;Erpfingen;Sonnenbühl-Erpfingen, Sportplatz;515300;5354700;1994-04-27;NA;Ja
47650;Schwäbische Alb;Schwebstaub PM 2_5 (Gravimetrie);µg/m³;NA;797;72820;Erpfingen;Sonnenbühl-Erpfingen, Sportplatz;515300;5354700;1994-04-27;NA;Ja
47650;Schwäbische Alb;Schwefeldioxid;µg/m³;4;797;72820;Erpfingen;Sonnenbühl-Erpfingen, Sportplatz;515300;5354700;1994-04-27;NA;Ja
47650;Schwäbische Alb;Schwefeldioxid;µg/m³;0;797;72820;Erpfingen;Sonnenbühl-Erpfingen, Sportplatz;515300;5354700;1994-04-27;NA;Ja
47650;Schwäbische Alb;Stickstoffdioxid;µg/m³;NA;797;72820;Erpfingen;Sonnenbühl-Erpfingen, Sportplatz;515300;5354700;1994-04-27;NA;Ja
47650;Schwäbische Alb;Stickstoffmonoxid;µg/m³;NA;797;72820;Erpfingen;Sonnenbühl-Erpfingen, Sportplatz;515300;5354700;1994-04-27;NA;Ja
47650;Schwäbische Alb;Temperatur;°C;NA;797;72820;Erpfingen;Sonnenbühl-Erpfingen, Sportplatz;515300;5354700;1994-04-27;NA;Ja
47650;Schwäbische Alb;Windgeschwindigkeit;m/s;NA;797;72820;Erpfingen;Sonnenbühl-Erpfingen, Sportplatz;515300;5354700;1994-04-27;NA;Ja
47650;Schwäbische Alb;Windrichtung;°;NA;797;72820;Erpfingen;Sonnenbühl-Erpfingen, Sportplatz;515300;5354700;1994-04-27;NA;Ja
4467;Schwarzwald-Süd;Globalstrahlung;W/m²;NA;90;79244;Münstertal;Kälbelescheuer;407500;5295900;1984-01-01;NA;Ja
